ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_tendance,configuration_tendance,score_opportunite,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,172.06,1.02,726416,812797.0,0.89,173.262,173.927,162.774,46.4,2.76,1.27,182.26,140.78,179.84,169.24,,2.0,,,False,2,EMA20 > EMA9 > Prix > EMA200,2,167.92,178.96,2026-08-04
AIR.PA,Airbus,Aéronautique,214.1,2.93,1371879,1071560.0,1.28,207.344,202.995,186.094,64.9,5.35,2.04,221.3,157.42,214.1,190.9,,,haussière,0.0,False,7,Prix > EMA9 > EMA20 > EMA200,8,206.07,227.48,2026-08-04
ALO.PA,Alstom,Industrie,16.84,1.78,818625,1312654.0,0.62,16.308,16.107,19.786,62.8,0.455,2.78,30.23,14.72,16.84,15.03,,8.0,,,False,0,EMA200 > Prix > EMA9 > EMA20,0,16.16,17.98,2026-08-04
MT.AS,ArcelorMittal,Matériaux,64.44,4.24,1757060,1712561.0,1.03,60.175,58.736,48.577,69.3,2.303,3.6,64.96,27.13,64.96,53.6,,,haussière,0.0,False,7,Prix > EMA9 > EMA20 > EMA200,8,60.99,70.2,2026-08-04
CS.PA,AXA,Assurance,44.63,0.0,2481073,2452129.0,1.01,44.859,44.514,40.984,56.3,0.583,1.21,45.66,36.55,45.66,43.29,,,,4.0,False,4,EMA9 > Prix > EMA20 > EMA200,4,43.76,46.09,2026-08-04
BNP.PA,BNP Paribas,Banque,111.88,0.09,1364483,1758277.0,0.78,108.328,105.668,90.377,70.7,2.354,2.07,112.38,65.12,112.38,97.31,,,haussière,0.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,108.35,117.76,2026-08-04
EN.PA,Bouygues,BTP/Télécom,49.35,0.14,406490,682299.0,0.6,48.22,48.056,46.842,57.9,1.05,2.11,53.48,35.39,50.2,45.7,,1.0,,2.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,47.77,51.98,2026-08-04
CAP.PA,Capgemini,Technologie,107.4,0.19,547432,793330.0,0.69,100.73,96.739,110.109,66.1,4.359,4.52,153.05,85.62,109.8,85.62,,4.0,,3.0,False,0,EMA200 > Prix > EMA9 > EMA20,0,100.86,118.3,2026-08-04
CA.PA,Carrefour,Distribution,15.73,-0.79,1976847,2164367.0,0.91,16.005,16.165,15.417,42.1,0.385,2.02,17.53,11.94,16.91,15.22,,6.0,,,False,2,EMA20 > EMA9 > Prix > EMA200,2,15.16,16.7,2026-08-04
ACA.PA,Crédit Agricole,Banque,19.38,-0.36,4405707,4247022.0,1.04,18.751,18.314,17.14,72.3,0.33,1.47,19.57,15.29,19.57,16.97,,,,1.0,False,7,Prix > EMA9 > EMA20 > EMA200,6,18.88,20.2,2026-08-04
BN.PA,Danone,Agroalimentaire,68.02,0.32,1557391,1345729.0,1.16,69.576,70.232,69.707,41.7,1.621,2.22,80.14,60.64,74.68,67.14,,2.0,,1.0,False,0,EMA20 > EMA200 > EMA9 > Prix,0,65.59,72.07,2026-08-04
DSY.PA,Dassault Systèmes,Technologie,21.31,2.7,1674970,2159375.0,0.78,20.228,19.462,21.176,68.5,0.775,4.13,30.36,15.82,21.44,17.56,,6.0,,4.0,False,0,Prix > EMA200 > EMA9 > EMA20,0,20.15,23.25,2026-08-04
EDEN.PA,Edenred,Services,28.6,0.92,495383,873438.0,0.57,27.72,26.469,22.266,72.2,0.849,3.19,28.97,15.23,28.97,23.04,,,,3.0,False,7,Prix > EMA9 > EMA20 > EMA200,6,27.33,30.72,2026-08-04
ENGI.PA,Engie,Énergie,26.82,-0.19,3376029,2658874.0,1.27,26.739,26.888,25.271,48.7,0.633,2.3,29.89,17.2,27.93,25.94,,4.0,,3.0,False,0,EMA20 > Prix > EMA9 > EMA200,0,25.87,28.4,2026-08-04
EL.PA,EssilorLuxottica,Santé/Optique,170.5,0.53,1062469,644982.0,1.65,167.202,167.783,208.823,52.8,5.53,3.06,323.8,160.6,177.1,160.8,,,,,True,-4,EMA200 > Prix > EMA20 > EMA9,-4,162.2,184.33,2026-08-04
ERF.PA,Eurofins Scientific,Santé,68.82,1.59,200977,247202.0,0.81,68.374,68.255,64.118,53.8,1.732,2.64,74.32,54.86,71.28,64.56,,,,7.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,66.22,73.15,2026-08-04
RMS.PA,Hermès,Luxe,1556.0,-0.29,82305,93991.0,0.88,1595.803,1620.617,1831.218,41.6,57.826,3.31,2300.0,1465.5,1709.0,1465.5,,3.0,,3.0,False,-7,EMA200 > EMA20 > EMA9 > Prix,-7,1469.26,1700.56,2026-08-04
KER.PA,Kering,Luxe,279.3,-3.16,284703,317110.0,0.9,270.513,262.017,258.388,61.1,10.606,3.23,354.2,208.25,292.85,236.2,,3.0,,3.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,263.39,305.82,2026-08-04
OR.PA,L'Oréal,Cosmétiques,387.5,-0.58,308115,301912.0,1.02,384.507,382.479,373.991,55.5,9.07,2.29,408.35,338.85,401.0,366.1,,2.0,,2.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,373.9,410.17,2026-08-04
LR.PA,Legrand,Industrie,138.15,2.71,814156,641088.0,1.27,134.161,136.305,138.24,51.1,4.206,3.05,166.95,121.95,145.9,125.7,,,,4.0,False,-4,EMA200 > Prix > EMA20 > EMA9,-4,131.84,148.67,2026-08-04
MC.PA,LVMH,Luxe,485.0,-0.39,407738,495977.0,0.82,477.366,480.096,510.98,52.0,15.048,3.07,654.7,440.0,503.1,449.5,,9.0,,7.0,False,-4,EMA200 > Prix > EMA20 > EMA9,-4,462.43,522.62,2026-08-04
ML.PA,Michelin,Industrie,34.62,-0.4,1649690,1635339.0,1.01,34.626,34.513,31.997,53.6,0.739,2.01,35.72,25.51,35.72,33.46,,,,,False,4,EMA9 > Prix > EMA20 > EMA200,4,33.51,36.47,2026-08-04
ORA.PA,Orange,Télécom,16.43,-1.02,4346714,4359006.0,1.0,16.657,16.574,16.174,47.3,0.398,2.09,18.81,13.07,17.52,15.72,,4.0,,3.0,False,0,EMA9 > EMA20 > Prix > EMA200,0,15.84,17.43,2026-08-04
RI.PA,Pernod Ricard,Boissons,67.56,-1.69,476885,660195.0,0.72,66.712,65.641,71.884,58.2,1.952,2.74,107.45,58.6,69.82,61.16,,4.0,,3.0,False,0,EMA200 > Prix > EMA9 > EMA20,0,64.63,72.44,2026-08-04
PUB.PA,Publicis,Communication,94.28,0.45,528752,617131.0,0.86,92.107,90.16,84.084,63.5,2.535,3.03,96.04,68.14,96.04,84.28,,6.0,,3.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,90.48,100.62,2026-08-04
RNO.PA,Renault,Automobile,28.4,-0.18,1412440,1306582.0,1.08,27.482,26.968,30.598,64.2,0.901,2.99,37.97,24.66,29.02,25.07,,4.0,,1.0,False,0,EMA200 > Prix > EMA9 > EMA20,0,27.05,30.65,2026-08-04
SAF.PA,Safran,Aéronautique,356.4,1.45,464546,583704.0,0.8,341.814,336.774,305.802,66.4,9.655,2.64,360.8,262.6,358.5,316.9,,4.0,,,False,7,Prix > EMA9 > EMA20 > EMA200,7,341.92,380.54,2026-08-04
SGO.PA,Saint-Gobain,Matériaux,84.92,1.68,1218572,906380.0,1.34,78.578,77.316,80.498,69.0,2.432,2.49,100.75,65.88,85.01,72.22,,1.0,haussière,0.0,False,0,Prix > EMA200 > EMA9 > EMA20,1,81.27,91.0,2026-08-04
SAN.PA,Sanofi,Santé,74.39,-0.15,1666594,2283970.0,0.73,75.933,76.109,79.413,44.7,2.174,2.62,91.15,71.25,80.18,72.07,baissier,0.0,,2.0,False,-7,EMA200 > EMA20 > EMA9 > Prix,-8,71.13,79.82,2026-08-04
SU.PA,Schneider Electric,Industrie,299.25,3.15,884058,832345.0,1.06,278.051,273.955,257.636,67.3,9.11,2.91,299.55,208.8,299.55,255.7,,1.0,haussière,0.0,False,7,Prix > EMA9 > EMA20 > EMA200,8,285.59,322.02,2026-08-04
GLE.PA,Société Générale,Banque,83.0,-0.11,1921306,1465482.0,1.31,79.545,77.798,67.823,67.0,2.268,2.67,83.89,50.9,83.89,71.2,,,,1.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,79.6,88.67,2026-08-04
STLAP.PA,Stellantis,Automobile,5.0,1.15,5755055,5464443.0,1.05,5.041,5.087,6.859,44.4,0.212,3.7,10.49,4.59,5.34,4.59,,,,3.0,False,-7,EMA200 > EMA20 > EMA9 > Prix,-7,4.68,5.53,2026-08-04
STMPA.PA,STMicroelectronics,Technologie,46.89,3.58,3340245,3327423.0,1.0,47.694,51.944,41.844,37.1,3.241,5.52,70.85,18.2,63.62,42.42,,,,3.0,False,2,EMA20 > EMA9 > Prix > EMA200,2,42.03,54.99,2026-08-04
TEP.PA,Teleperformance,Services,67.04,3.2,326268,251992.0,1.29,60.977,57.911,60.088,71.2,3.105,4.78,78.14,43.65,68.84,49.12,,,,1.0,False,0,Prix > EMA9 > EMA200 > EMA20,-1,62.38,74.8,2026-08-04
HO.PA,Thales,Défense,262.4,3.39,276257,245489.0,1.13,245.842,238.349,237.407,72.6,7.398,2.68,279.3,212.6,262.4,216.4,,7.0,haussière,0.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,251.3,280.9,2026-08-04
TTE.PA,TotalEnergies,Énergie,74.25,-2.85,3664181,3573273.0,1.03,74.576,73.245,68.223,54.7,1.818,2.17,81.34,49.24,76.78,67.19,,9.0,,7.0,False,4,EMA9 > Prix > EMA20 > EMA200,4,71.52,78.8,2026-08-04
URW.PA,Unibail-Rodamco-Westfield,Immobilier,105.9,0.71,176560,196472.0,0.9,104.978,104.087,97.034,64.1,1.456,1.3,106.65,85.6,106.2,100.4,,,,,False,7,Prix > EMA9 > EMA20 > EMA200,7,103.72,109.54,2026-08-04
VIE.PA,Veolia,Environnement,34.98,1.98,1647998,1643317.0,1.0,35.629,36.069,33.563,41.5,0.774,1.88,37.66,27.43,37.66,34.16,,4.0,,1.0,False,2,EMA20 > EMA9 > Prix > EMA200,2,33.82,36.92,2026-08-04
