ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_tendance,configuration_tendance,score_opportunite,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,167.7,0.35,531766,717880.0,0.74,168.171,169.882,163.726,39.2,2.263,1.16,182.26,140.78,175.06,165.36,,,,5.0,False,2,EMA20 > EMA9 > Prix > EMA200,2,164.3,173.36,2026-08-24
AIR.PA,Airbus,Aéronautique,202.7,-0.49,513347,872464.0,0.59,207.64,207.893,189.525,43.7,4.113,1.55,221.3,157.42,217.05,201.65,baissier,0.0,,,False,2,EMA20 > EMA9 > Prix > EMA200,1,196.53,212.98,2026-08-24
ALO.PA,Alstom,Industrie,16.04,0.31,868827,993884.0,0.87,16.038,16.107,19.293,48.3,0.363,1.9,30.23,14.72,17.05,15.75,,4.0,,,False,0,EMA200 > EMA20 > Prix > EMA9,0,15.5,16.95,2026-08-24
MT.AS,ArcelorMittal,Matériaux,62.8,0.35,1225532,1559858.0,0.79,62.579,61.967,50.605,56.4,2.169,3.09,65.24,27.42,65.24,56.8,,,,,False,7,Prix > EMA9 > EMA20 > EMA200,7,59.55,68.22,2026-08-24
CS.PA,AXA,Assurance,44.11,0.89,1609301,2309513.0,0.7,44.226,44.415,41.494,46.3,0.548,1.13,45.66,36.55,45.66,43.23,,3.0,,2.0,False,2,EMA20 > EMA9 > Prix > EMA200,2,43.29,45.48,2026-08-24
BNP.PA,BNP Paribas,Banque,106.8,-0.65,1493718,1482259.0,1.01,108.569,108.681,93.167,45.7,1.875,1.42,113.82,65.12,113.82,105.12,baissier,0.0,,,False,2,EMA20 > EMA9 > Prix > EMA200,1,103.99,111.49,2026-08-24
EN.PA,Bouygues,BTP/Télécom,45.87,-0.69,556259,564027.0,0.99,46.791,47.345,46.94,35.0,0.849,1.5,53.48,35.39,50.2,45.82,,7.0,baissière,0.0,False,0,EMA20 > EMA200 > EMA9 > Prix,-1,44.6,47.99,2026-08-24
CAP.PA,Capgemini,Technologie,111.4,0.22,285417,608338.0,0.47,109.098,106.092,109.902,64.5,3.739,2.99,153.05,85.62,111.85,95.94,,,,,False,0,Prix > EMA200 > EMA9 > EMA20,0,105.79,120.75,2026-08-24
CA.PA,Carrefour,Distribution,16.06,1.2,1488950,1726911.0,0.86,15.85,15.897,15.475,53.0,0.253,1.16,17.53,11.94,16.2,15.6,,,,,False,4,Prix > EMA20 > EMA9 > EMA200,4,15.68,16.69,2026-08-24
ACA.PA,Crédit Agricole,Banque,19.08,0.08,2802635,4268927.0,0.66,19.394,19.271,17.489,49.7,0.29,1.36,20.4,15.29,20.4,18.32,,,,8.0,False,0,EMA9 > EMA20 > Prix > EMA200,0,18.65,19.81,2026-08-24
BN.PA,Danone,Agroalimentaire,66.14,-0.27,811168,1213236.0,0.67,66.467,67.442,69.325,39.7,1.212,1.47,80.14,60.64,72.72,64.84,,,,5.0,False,-7,EMA200 > EMA20 > EMA9 > Prix,-7,64.32,69.17,2026-08-24
DSY.PA,Dassault Systèmes,Technologie,22.66,1.03,1568873,1841908.0,0.85,22.045,21.382,21.267,67.4,0.646,2.35,30.36,15.82,22.7,19.69,,,haussière,0.0,False,7,Prix > EMA9 > EMA20 > EMA200,8,21.69,24.27,2026-08-24
EDEN.PA,Edenred,Services,29.94,2.39,332097,549870.0,0.6,28.885,28.235,23.168,68.4,0.734,2.22,29.94,15.23,29.94,26.88,,,haussière,0.0,False,7,Prix > EMA9 > EMA20 > EMA200,8,28.84,31.77,2026-08-24
ENGI.PA,Engie,Énergie,25.13,-0.63,2266246,3135470.0,0.72,25.604,26.022,25.373,34.3,0.516,1.72,29.89,17.2,27.52,24.96,,,baissière,0.0,False,0,EMA20 > EMA9 > EMA200 > Prix,-1,24.36,26.42,2026-08-24
EL.PA,EssilorLuxottica,Santé/Optique,161.7,-0.92,368555,714444.0,0.52,163.462,165.224,202.844,42.2,4.61,2.53,323.8,159.2,176.6,159.2,,7.0,,5.0,False,-7,EMA200 > EMA20 > EMA9 > Prix,-7,154.78,173.23,2026-08-24
ERF.PA,Eurofins Scientific,Santé,73.26,0.58,140808,197229.0,0.71,71.438,70.359,65.001,70.1,1.399,1.6,74.32,54.86,73.4,66.56,,,haussière,0.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,71.16,76.76,2026-08-24
RMS.PA,Hermès,Luxe,1580.5,0.48,65471,99519.0,0.66,1576.824,1589.954,1798.292,47.5,42.979,2.15,2300.0,1465.5,1705.0,1465.5,,,,,False,0,EMA200 > EMA20 > Prix > EMA9,0,1516.03,1687.95,2026-08-24
KER.PA,Kering,Luxe,255.75,0.57,151141,327663.0,0.46,260.666,264.496,259.971,43.8,8.577,2.79,354.2,225.1,293.5,244.4,,4.0,,,False,0,EMA20 > EMA9 > EMA200 > Prix,0,242.88,277.19,2026-08-24
OR.PA,L'Oréal,Cosmétiques,392.5,1.53,238012,313346.0,0.76,384.5,383.54,375.443,58.6,7.844,1.79,408.35,338.85,401.0,367.5,haussier,0.0,,,False,7,Prix > EMA9 > EMA20 > EMA200,8,380.73,412.11,2026-08-24
LR.PA,Legrand,Industrie,133.2,-1.08,337462,563787.0,0.6,136.12,136.981,138.209,39.2,3.517,2.21,166.95,121.95,143.8,125.7,,2.0,,,False,-7,EMA200 > EMA20 > EMA9 > Prix,-7,127.92,141.99,2026-08-24
MC.PA,LVMH,Luxe,459.35,1.51,408727,498558.0,0.82,456.878,464.382,504.753,45.2,11.72,2.08,654.7,440.0,496.35,442.5,,,,2.0,False,0,EMA200 > EMA20 > Prix > EMA9,0,441.77,488.65,2026-08-24
ML.PA,Michelin,Industrie,35.08,1.36,1031198,1510950.0,0.68,34.581,34.531,32.355,58.3,0.581,1.38,35.72,25.51,35.48,33.46,haussier,0.0,,,False,7,Prix > EMA9 > EMA20 > EMA200,8,34.21,36.53,2026-08-24
ORA.PA,Orange,Télécom,15.83,-0.85,4395224,4601666.0,0.96,16.099,16.234,16.176,39.5,0.316,1.66,18.81,13.07,17.52,15.82,,,,,False,0,EMA20 > EMA200 > EMA9 > Prix,0,15.36,16.62,2026-08-24
RI.PA,Pernod Ricard,Boissons,69.0,0.85,475962,605760.0,0.79,68.555,67.984,71.468,57.4,1.492,1.9,107.45,58.6,71.14,65.42,,,,,False,0,EMA200 > Prix > EMA9 > EMA20,0,66.76,72.73,2026-08-24
PUB.PA,Publicis,Communication,104.1,1.71,414540,642140.0,0.65,101.414,98.511,86.358,73.1,2.19,1.97,104.85,68.14,104.85,90.68,,,haussière,0.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,100.81,109.58,2026-08-24
RNO.PA,Renault,Automobile,28.31,-1.12,932845,1315154.0,0.71,28.515,28.167,30.315,53.7,0.751,2.12,37.97,24.66,29.63,26.74,,,,3.0,False,-4,EMA200 > EMA9 > Prix > EMA20,-4,27.18,30.19,2026-08-24
SAF.PA,Safran,Aéronautique,339.9,-1.08,377381,453959.0,0.83,348.912,348.629,312.512,43.6,7.663,1.79,366.5,262.6,366.5,329.0,,,,,False,0,EMA9 > EMA20 > Prix > EMA200,0,328.41,359.06,2026-08-24
SGO.PA,Saint-Gobain,Matériaux,80.24,-1.18,594335,966800.0,0.61,81.429,81.132,80.851,48.4,1.89,1.95,95.86,65.88,87.18,75.18,,,,,False,0,EMA9 > EMA20 > EMA200 > Prix,0,77.41,84.96,2026-08-24
SAN.PA,Sanofi,Santé,78.28,-0.84,1130069,2063831.0,0.55,77.477,76.745,79.028,57.7,1.657,1.81,91.15,71.25,80.18,72.07,,5.0,,,False,0,EMA200 > Prix > EMA9 > EMA20,0,75.8,82.42,2026-08-24
SU.PA,Schneider Electric,Industrie,291.8,-1.68,533646,833077.0,0.64,297.201,293.931,263.755,50.5,7.231,1.96,312.3,208.9,312.3,255.7,,,,8.0,False,0,EMA9 > EMA20 > Prix > EMA200,0,280.95,309.88,2026-08-24
GLE.PA,Société Générale,Banque,75.64,-0.63,1370142,1580383.0,0.87,78.586,79.45,69.664,35.4,1.753,1.73,84.82,51.74,84.82,75.16,,2.0,,,False,2,EMA20 > EMA9 > Prix > EMA200,2,73.01,80.02,2026-08-24
STLAP.PA,Stellantis,Automobile,4.43,-4.71,7165590,6575116.0,1.09,4.573,4.714,6.557,38.2,0.209,3.96,10.49,4.38,5.34,4.38,,,,4.0,False,-7,EMA200 > EMA20 > EMA9 > Prix,-7,4.12,4.95,2026-08-24
STMPA.PA,STMicroelectronics,Technologie,42.22,-2.0,2116607,3020243.0,0.7,44.688,46.886,42.434,32.9,2.255,3.36,70.85,18.2,49.59,41.99,,,baissière,0.0,False,0,EMA20 > EMA9 > EMA200 > Prix,-1,38.84,47.86,2026-08-24
TEP.PA,Teleperformance,Services,71.92,0.25,159485,349609.0,0.46,70.077,67.278,61.424,64.9,2.881,3.27,78.14,43.65,72.64,55.5,,,,,False,7,Prix > EMA9 > EMA20 > EMA200,7,67.6,79.12,2026-08-24
HO.PA,Thales,Défense,251.0,-0.83,169999,236824.0,0.72,258.776,256.256,240.898,47.2,5.882,1.88,279.3,212.6,274.2,242.2,,,,8.0,False,0,EMA9 > EMA20 > Prix > EMA200,0,242.18,265.7,2026-08-24
TTE.PA,TotalEnergies,Énergie,75.98,-1.89,2712191,3041374.0,0.89,76.589,75.652,69.33,53.6,1.553,1.69,81.34,49.24,78.88,73.57,,,,,False,4,EMA9 > Prix > EMA20 > EMA200,4,73.65,79.86,2026-08-24
URW.PA,Unibail-Rodamco-Westfield,Immobilier,103.0,-0.05,184650,203619.0,0.91,103.104,103.416,97.968,47.0,1.253,1.08,106.65,85.6,106.2,101.3,,7.0,,4.0,False,2,EMA20 > EMA9 > Prix > EMA200,2,101.12,106.13,2026-08-24
VIE.PA,Veolia,Environnement,34.03,-0.18,783901,1506826.0,0.52,34.201,34.661,33.689,38.6,0.552,1.24,37.66,27.43,36.49,33.71,,,,6.0,False,2,EMA20 > EMA9 > Prix > EMA200,2,33.2,35.41,2026-08-24
DG.PA,Vinci,BTP,118.65,-0.54,781372,821712.0,0.95,120.298,121.254,124.078,39.0,2.044,1.43,143.15,112.4,127.75,117.65,,5.0,,,False,-7,EMA200 > EMA20 > EMA9 > Prix,-7,115.58,123.76,2026-08-24
VIV.PA,Vivendi,Médias,1.67,0.42,1939790,3109502.0,0.62,1.669,1.721,2.269,39.2,0.059,2.55,3.21,1.56,2.05,1.56,,,,,False,-7,EMA200 > EMA20 > EMA9 > Prix,-7,1.58,1.82,2026-08-24
