ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_tendance,configuration_tendance,score_opportunite,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,166.78,-0.16,600383,708698.0,0.85,168.918,170.806,163.407,35.0,2.281,1.12,182.26,140.78,178.12,166.4,,,,2.0,False,2,EMA20 > EMA9 > Prix > EMA200,2,163.36,172.48,2026-08-19
AIR.PA,Airbus,Aéronautique,208.05,-0.83,600124,969971.0,0.62,211.551,209.384,188.867,51.1,4.362,1.71,221.3,157.42,217.05,202.5,,,,,False,0,EMA9 > EMA20 > Prix > EMA200,0,201.51,218.95,2026-08-19
ALO.PA,Alstom,Industrie,15.88,0.47,887128,1106261.0,0.8,16.105,16.155,19.459,45.0,0.385,2.16,30.23,14.72,17.05,15.3,,1.0,,,False,-7,EMA200 > EMA20 > EMA9 > Prix,-7,15.3,16.84,2026-08-19
MT.AS,ArcelorMittal,Matériaux,62.24,0.81,1172547,1505942.0,0.78,62.82,61.778,50.053,55.1,1.961,2.98,65.24,27.42,65.24,56.78,,,,,False,4,EMA9 > Prix > EMA20 > EMA200,4,59.3,67.14,2026-08-19
CS.PA,AXA,Assurance,43.98,-1.28,2447157,2260686.0,1.08,44.602,44.604,41.352,42.7,0.553,1.13,45.66,36.55,45.66,43.98,baissier,0.0,baissière,0.0,False,2,EMA20 > EMA9 > Prix > EMA200,0,43.15,45.36,2026-08-19
BNP.PA,BNP Paribas,Banque,106.78,-2.39,1881786,1605981.0,1.17,110.207,109.18,92.46,45.6,1.992,1.56,113.82,65.12,113.82,103.46,,,,9.0,False,0,EMA9 > EMA20 > Prix > EMA200,0,103.79,111.76,2026-08-19
EN.PA,Bouygues,BTP/Télécom,46.7,0.11,384503,549793.0,0.7,47.427,47.745,46.936,40.0,0.855,1.8,53.48,35.39,50.2,46.0,,4.0,,,False,0,EMA20 > EMA9 > EMA200 > Prix,0,45.42,48.84,2026-08-19
CAP.PA,Capgemini,Technologie,110.35,2.84,387873,673195.0,0.58,107.384,104.25,110.097,63.5,3.905,3.42,153.05,85.62,111.85,85.62,,,,,False,0,Prix > EMA200 > EMA9 > EMA20,0,104.49,120.11,2026-08-19
CA.PA,Carrefour,Distribution,15.77,-0.79,1184590,2003048.0,0.59,15.794,15.901,15.446,45.5,0.284,1.31,17.53,11.94,16.91,15.22,,,,,False,2,EMA20 > EMA9 > Prix > EMA200,2,15.34,16.48,2026-08-19
ACA.PA,Crédit Agricole,Banque,19.17,-2.59,5878135,4099050.0,1.43,19.679,19.3,17.413,52.0,0.323,1.57,20.4,15.29,20.4,18.0,,,,5.0,False,0,EMA9 > EMA20 > Prix > EMA200,0,18.68,19.97,2026-08-19
