ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_tendance,configuration_tendance,score_opportunite,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,173.18,2.15,1194002,629686.0,1.9,169.477,169.746,164.067,59.4,2.655,1.27,182.26,140.78,176.64,165.36,,,,,True,4,Prix > EMA20 > EMA9 > EMA200,4,169.2,179.82,2026-09-01
AIR.PA,Airbus,Aéronautique,196.18,-0.54,812660,753664.0,1.08,202.313,204.842,190.206,35.9,4.199,1.75,221.3,157.42,217.05,194.22,,6.0,baissière,0.0,False,2,EMA20 > EMA9 > Prix > EMA200,1,189.88,206.68,2026-09-01
ALO.PA,Alstom,Industrie,15.83,-3.24,1688896,971562.0,1.74,16.238,16.219,19.125,43.8,0.43,2.29,30.23,14.72,17.06,15.54,,4.0,,,True,0,EMA200 > EMA9 > EMA20 > Prix,0,15.18,16.91,2026-09-01
MT.AS,ArcelorMittal,Matériaux,63.74,-0.56,1243867,1415702.0,0.88,63.61,62.861,51.382,56.9,2.0,3.18,65.4,28.54,65.4,59.34,,,,,False,7,Prix > EMA9 > EMA20 > EMA200,7,60.74,68.74,2026-09-01
CS.PA,AXA,Assurance,43.71,1.42,2745703,2283390.0,1.2,43.652,43.979,41.612,46.5,0.671,1.46,45.66,36.55,45.63,42.43,,9.0,,3.0,False,0,EMA20 > Prix > EMA9 > EMA200,0,42.7,45.39,2026-09-01
BNP.PA,BNP Paribas,Banque,102.6,-0.18,2120583,1634027.0,1.3,104.366,106.117,93.752,39.3,2.2,2.03,113.82,65.12,113.82,99.93,,6.0,,3.0,False,2,EMA20 > EMA9 > Prix > EMA200,2,99.3,108.1,2026-09-01
EN.PA,Bouygues,BTP/Télécom,44.38,0.36,751328,557904.0,1.35,45.132,46.129,46.814,31.4,0.876,1.74,53.48,35.94,49.52,43.39,,,,3.0,False,-7,EMA200 > EMA20 > EMA9 > Prix,-7,43.07,46.57,2026-09-01
CAP.PA,Capgemini,Technologie,106.6,-0.61,530245,457269.0,1.16,108.196,106.96,109.821,51.8,3.54,2.82,153.05,85.62,111.85,104.65,,,,,False,0,EMA200 > EMA9 > EMA20 > Prix,0,101.29,115.45,2026-09-01
CA.PA,Carrefour,Distribution,16.0,2.07,1977700,1567979.0,1.26,15.809,15.849,15.495,52.7,0.258,1.31,17.53,11.94,16.12,15.52,,,,,False,4,Prix > EMA20 > EMA9 > EMA200,4,15.61,16.65,2026-09-01
ACA.PA,Crédit Agricole,Banque,18.58,0.35,4264900,4198174.0,1.02,18.795,18.971,17.558,42.6,0.303,1.51,20.4,15.37,20.4,18.18,,3.0,,3.0,False,2,EMA20 > EMA9 > Prix > EMA200,2,18.12,19.34,2026-09-01
BN.PA,Danone,Agroalimentaire,64.54,0.4,844001,1032306.0,0.82,65.158,66.237,69.076,34.8,1.049,1.39,80.14,60.64,69.06,64.14,,,,2.0,False,-7,EMA200 > EMA20 > EMA9 > Prix,-7,62.97,67.16,2026-09-01
DSY.PA,Dassault Systèmes,Technologie,22.25,-2.58,1824561,1631788.0,1.12,22.532,21.99,21.359,57.2,0.614,2.36,30.36,15.82,23.18,20.81,,,,3.0,False,4,EMA9 > Prix > EMA20 > EMA200,4,21.33,23.78,2026-09-01
EDEN.PA,Edenred,Services,30.0,-0.27,650814,451510.0,1.44,29.876,29.146,23.576,64.4,0.686,2.12,30.85,15.23,30.85,27.61,,,,3.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,28.97,31.71,2026-09-01
ENGI.PA,Engie,Énergie,24.4,-0.81,3273492,2965229.0,1.1,24.837,25.383,25.333,33.8,0.539,1.85,29.89,17.58,27.17,23.91,,,,3.0,False,0,EMA20 > EMA200 > EMA9 > Prix,0,23.59,25.75,2026-09-01
EL.PA,EssilorLuxottica,Santé/Optique,159.55,-0.5,587241,665228.0,0.88,160.669,162.682,200.326,41.8,4.262,2.05,323.8,156.15,176.6,156.15,,,,3.0,False,-7,EMA200 > EMA20 > EMA9 > Prix,-7,153.16,170.2,2026-09-01
ERF.PA,Eurofins Scientific,Santé,71.56,-1.35,247022,205499.0,1.2,72.203,71.375,65.445,54.1,1.36,1.81,74.62,54.86,74.62,68.62,,,,5.0,False,4,EMA9 > Prix > EMA20 > EMA200,4,69.52,74.96,2026-09-01
RMS.PA,Hermès,Luxe,1542.5,-2.44,93041,117730.0,0.79,1568.188,1578.748,1784.529,43.2,42.406,2.16,2300.0,1465.5,1663.5,1520.0,,,,,False,-7,EMA200 > EMA20 > EMA9 > Prix,-7,1478.89,1648.51,2026-09-01
KER.PA,Kering,Luxe,247.2,-2.7,319469,275482.0,1.16,253.52,258.414,259.429,40.5,7.84,2.56,354.2,225.1,293.5,245.3,,,,,False,-7,EMA200 > EMA20 > EMA9 > Prix,-7,235.44,266.8,2026-09-01
OR.PA,L'Oréal,Cosmétiques,379.35,-1.39,345352,279400.0,1.24,384.533,384.24,376.028,45.6,7.327,1.71,405.8,338.85,397.25,367.5,,6.0,,,False,0,EMA9 > EMA20 > Prix > EMA200,0,368.36,397.67,2026-09-01
LR.PA,Legrand,Industrie,134.4,-1.57,727957,421912.0,1.73,136.451,136.861,138.141,44.0,3.635,2.2,166.95,121.95,143.8,131.6,,8.0,,,True,-7,EMA200 > EMA20 > EMA9 > Prix,-7,128.95,143.49,2026-09-01
