ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_tendance,configuration_tendance,score_opportunite,stop_suggere,objectif_suggere,date
STMPA.PA,STMicroelectronics,Technologie,45.27,-0.78,3175327,3241131.0,0.98,47.895,52.476,41.793,33.1,3.309,5.69,70.85,18.2,64.0,42.42,,,,2.0,False,2,EMA20 > EMA9 > Prix > EMA200,2,40.31,53.54,2026-08-03
TEP.PA,Teleperformance,Services,64.96,6.53,506836,236522.0,2.14,59.461,56.95,60.018,68.6,3.067,4.83,78.14,43.65,68.84,49.12,,,haussière,0.0,True,0,Prix > EMA200 > EMA9 > EMA20,3,60.36,72.63,2026-08-03
HO.PA,Thales,Défense,253.8,4.32,200490,245871.0,0.82,241.702,235.818,237.156,68.2,7.306,2.66,279.3,212.6,255.5,216.4,,6.0,haussière,0.0,False,0,Prix > EMA9 > EMA200 > EMA20,1,242.84,272.06,2026-08-03
TTE.PA,TotalEnergies,Énergie,76.43,1.14,3525963,3500242.0,1.01,74.658,73.139,68.162,63.9,1.719,2.0,81.34,49.24,76.68,66.39,,8.0,,6.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,73.85,80.73,2026-08-03
URW.PA,Unibail-Rodamco-Westfield,Immobilier,105.15,0.62,235990,193590.0,1.22,104.747,103.896,96.945,60.7,1.476,1.34,106.65,85.6,106.2,100.4,,,,,False,7,Prix > EMA9 > EMA20 > EMA200,7,102.94,108.84,2026-08-03
VIE.PA,Veolia,Environnement,34.3,-4.19,2342756,1591948.0,1.47,35.791,36.184,33.549,35.2,0.777,1.9,37.66,27.43,37.66,34.16,,3.0,baissière,0.0,False,2,EMA20 > EMA9 > Prix > EMA200,1,33.13,36.24,2026-08-03
DG.PA,Vinci,BTP,125.1,1.01,894964,751451.0,1.19,120.82,121.068,124.353,59.7,2.52,1.69,143.15,112.4,127.75,117.1,,,,,False,0,Prix > EMA200 > EMA20 > EMA9,0,121.32,131.4,2026-08-03
VIV.PA,Vivendi,Médias,1.62,-18.11,5033658,2138511.0,2.35,1.89,1.95,2.369,25.8,0.088,2.46,3.3,1.6,2.31,1.6,,,baissière,0.0,True,-7,EMA200 > EMA20 > EMA9 > Prix,-11,1.49,1.84,2026-08-03
ATO.PA,Atos,Technologie,31.8,1.92,93294,117603.0,0.79,31.361,31.788,49.058,47.9,1.582,4.78,63.24,27.68,35.0,27.68,,,,8.0,False,-4,EMA200 > Prix > EMA20 > EMA9,-4,29.43,35.76,2026-08-03
SOI.PA,Soitec,Semi-conducteurs,109.3,4.64,232678,414189.0,0.56,103.578,104.911,86.122,51.2,11.053,8.95,200.5,22.62,128.0,81.66,,,,,False,4,Prix > EMA20 > EMA9 > EMA200,4,92.72,136.93,2026-08-03
NANO.PA,Nanobiotix,Biotech,33.8,-0.18,146938,123164.0,1.19,33.832,33.683,25.991,51.2,2.273,7.0,47.66,5.86,37.46,30.5,,,,,False,4,EMA9 > Prix > EMA20 > EMA200,4,30.39,39.48,2026-08-03
