ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_tendance,configuration_tendance,score_opportunite,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,168.26,-0.52,469614,767263.0,0.61,170.792,172.102,163.499,37.4,2.354,1.24,182.26,140.78,178.12,167.6,,,baissière,0.0,False,2,EMA20 > EMA9 > Prix > EMA200,1,164.73,174.14,2026-08-14
AIR.PA,Airbus,Aéronautique,215.4,1.17,589374,1036779.0,0.57,212.713,208.982,188.394,62.9,4.604,1.83,221.3,157.42,217.05,190.9,,,,7.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,208.49,226.91,2026-08-14
ALO.PA,Alstom,Industrie,16.23,1.53,757192,1160636.0,0.65,16.299,16.246,19.494,50.1,0.41,2.24,30.23,14.72,17.05,15.3,,,,8.0,False,0,EMA200 > EMA9 > EMA20 > Prix,0,15.61,17.26,2026-08-14
MT.AS,ArcelorMittal,Matériaux,63.74,0.13,981756,1694170.0,0.58,63.312,61.69,49.873,63.1,1.874,2.92,65.24,27.42,65.24,56.78,,,,8.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,60.93,68.43,2026-08-14
CS.PA,AXA,Assurance,45.05,0.92,1506097,2431484.0,0.62,44.86,44.722,41.327,59.7,0.559,1.28,45.66,36.55,45.66,44.25,,,,,False,7,Prix > EMA9 > EMA20 > EMA200,7,44.21,46.45,2026-08-14
BNP.PA,BNP Paribas,Banque,112.1,-0.27,893373,1703026.0,0.52,111.641,109.482,92.245,66.8,1.927,1.58,113.82,65.12,113.82,101.24,,,,6.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,109.21,116.92,2026-08-14
EN.PA,Bouygues,BTP/Télécom,47.65,0.15,483321,576358.0,0.84,47.976,48.072,46.962,46.2,0.904,1.93,53.48,35.39,50.2,46.0,,1.0,,,False,2,EMA20 > EMA9 > Prix > EMA200,2,46.29,49.91,2026-08-14
CAP.PA,Capgemini,Technologie,108.3,2.17,473996,731148.0,0.65,106.68,103.191,109.899,62.4,3.986,3.87,153.05,85.62,111.85,85.62,,,,,False,0,EMA200 > Prix > EMA9 > EMA20,0,102.32,118.27,2026-08-14
CA.PA,Carrefour,Distribution,15.8,0.48,693611,2109728.0,0.33,15.805,15.944,15.434,45.1,0.306,1.57,17.53,11.94,16.91,15.22,,,,,False,2,EMA20 > EMA9 > Prix > EMA200,2,15.34,16.56,2026-08-14
ACA.PA,Crédit Agricole,Banque,20.2,0.5,2887010,4393655.0,0.66,19.802,19.241,17.371,78.3,0.309,1.59,20.4,15.29,20.4,17.7,,,,2.0,False,7,Prix > EMA9 > EMA20 > EMA200,6,19.74,20.97,2026-08-14
BN.PA,Danone,Agroalimentaire,67.24,-1.09,806390,1368354.0,0.59,67.871,68.71,69.536,40.9,1.33,1.8,80.14,60.64,73.22,66.74,,,,,False,-7,EMA200 > EMA20 > EMA9 > Prix,-7,65.25,70.56,2026-08-14
DSY.PA,Dassault Systèmes,Technologie,21.68,3.63,1415836,2195899.0,0.64,21.389,20.707,21.211,62.1,0.723,3.02,30.36,15.82,22.43,17.56,,,,5.0,False,0,Prix > EMA9 > EMA200 > EMA20,0,20.6,23.49,2026-08-14
EDEN.PA,Edenred,Services,28.58,2.18,303140,743296.0,0.41,28.247,27.615,22.808,63.1,0.779,2.62,29.5,15.23,29.5,25.16,,,,7.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,27.41,30.53,2026-08-14
ENGI.PA,Engie,Énergie,25.72,-1.57,3012669,3122915.0,0.96,26.253,26.527,25.368,38.5,0.585,2.38,29.89,17.2,27.93,25.58,,,baissière,0.0,False,2,EMA20 > EMA9 > Prix > EMA200,1,24.84,27.18,2026-08-14
EL.PA,EssilorLuxottica,Santé/Optique,162.55,-0.73,420058,734150.0,0.57,166.852,167.68,205.33,39.9,5.188,3.51,323.8,160.6,176.6,160.8,,1.0,,,False,-7,EMA200 > EMA20 > EMA9 > Prix,-7,154.77,175.52,2026-08-14
ERF.PA,Eurofins Scientific,Santé,70.44,0.49,129199,222276.0,0.58,69.735,69.196,64.601,60.2,1.342,1.66,74.32,54.86,71.28,64.56,,,,,False,7,Prix > EMA9 > EMA20 > EMA200,7,68.43,73.79,2026-08-14
RMS.PA,Hermès,Luxe,1576.0,-0.22,65224,96745.0,0.67,1599.287,1608.599,1811.936,44.7,49.387,3.46,2300.0,1465.5,1705.0,1465.5,,,,,False,-7,EMA200 > EMA20 > EMA9 > Prix,-7,1501.92,1699.47,2026-08-14
KER.PA,Kering,Luxe,268.55,-0.76,261490,329400.0,0.79,275.9,271.964,260.188,49.5,9.515,3.18,354.2,214.35,293.5,236.2,,,,,False,0,EMA9 > EMA20 > Prix > EMA200,0,254.28,292.34,2026-08-14
OR.PA,L'Oréal,Cosmétiques,379.5,-0.99,213228,312292.0,0.68,383.71,383.683,374.928,46.1,7.849,2.13,408.35,338.85,401.0,366.1,,,,,False,0,EMA9 > EMA20 > Prix > EMA200,0,367.73,399.12,2026-08-14
LR.PA,Legrand,Industrie,140.7,-0.74,361800,622779.0,0.58,139.591,138.419,138.344,54.8,3.664,2.84,166.95,121.95,143.8,125.7,,4.0,,,False,7,Prix > EMA9 > EMA20 > EMA200,7,135.2,149.86,2026-08-14
MC.PA,LVMH,Luxe,458.4,-0.35,363942,519623.0,0.7,470.308,475.094,507.852,37.4,12.452,2.73,654.7,440.0,496.35,449.5,,,,,False,-7,EMA200 > EMA20 > EMA9 > Prix,-7,439.72,489.53,2026-08-14
ML.PA,Michelin,Industrie,34.63,-0.66,964031,1698809.0,0.57,34.592,34.516,32.163,53.1,0.628,1.82,35.72,25.51,35.48,33.46,,,,,False,7,Prix > EMA9 > EMA20 > EMA200,7,33.69,36.2,2026-08-14
ORA.PA,Orange,Télécom,16.41,0.74,3746999,4325020.0,0.87,16.322,16.388,16.176,49.4,0.36,2.21,18.81,13.07,17.52,15.83,,7.0,,,False,4,Prix > EMA20 > EMA9 > EMA200,4,15.87,17.3,2026-08-14
RI.PA,Pernod Ricard,Boissons,69.16,1.2,491125,659542.0,0.74,68.602,67.578,71.625,58.9,1.701,2.42,107.45,58.6,71.14,61.16,,,,,False,0,EMA200 > Prix > EMA9 > EMA20,0,66.61,73.41,2026-08-14
PUB.PA,Publicis,Communication,101.8,1.82,674812,651831.0,1.04,98.548,95.446,85.354,72.5,2.409,2.43,103.1,68.14,103.1,85.02,,,haussière,0.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,98.19,107.82,2026-08-14
RNO.PA,Renault,Automobile,28.63,1.42,1170354,1348443.0,0.87,28.298,27.802,30.401,60.9,0.726,2.49,37.97,24.66,29.02,25.46,,,,9.0,False,0,EMA200 > Prix > EMA9 > EMA20,0,27.54,30.44,2026-08-14
SAF.PA,Safran,Aéronautique,360.5,0.7,298159,525547.0,0.57,357.196,349.756,310.283,63.0,8.317,2.24,366.5,262.6,366.5,316.9,,,,4.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,348.03,381.29,2026-08-14
