ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_tendance,configuration_tendance,score_opportunite,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,170.34,-0.78,492356,730737.0,0.67,172.109,172.957,163.175,42.5,2.529,1.25,182.26,140.78,178.62,169.24,,8.0,,,False,2,EMA20 > EMA9 > Prix > EMA200,2,166.55,176.66,2026-08-12
AIR.PA,Airbus,Aéronautique,213.65,0.54,766729,1002239.0,0.77,211.949,207.838,187.649,61.9,4.695,1.81,221.3,157.42,217.05,190.9,,,,5.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,206.61,225.39,2026-08-12
ALO.PA,Alstom,Industrie,16.2,-1.1,873699,1213646.0,0.72,16.398,16.27,19.632,49.3,0.441,2.61,30.23,14.72,17.05,15.03,,,,,False,0,EMA200 > EMA9 > EMA20 > Prix,0,15.54,17.3,2026-08-12
MT.AS,ArcelorMittal,Matériaux,64.18,0.0,1230718,1646079.0,0.75,63.009,61.086,49.389,65.3,1.958,3.03,65.24,27.42,65.24,56.14,,,,6.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,61.24,69.08,2026-08-12
CS.PA,AXA,Assurance,44.73,-0.22,1627532,2337527.0,0.7,44.855,44.652,41.18,55.7,0.566,1.16,45.66,36.55,45.66,43.63,,,,,False,4,EMA9 > Prix > EMA20 > EMA200,4,43.88,46.15,2026-08-12
BNP.PA,BNP Paribas,Banque,112.0,0.25,1278669,1653180.0,0.77,111.189,108.595,91.53,67.3,2.046,1.74,113.62,65.12,113.62,99.63,,,,4.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,108.93,117.11,2026-08-12
EN.PA,Bouygues,BTP/Télécom,47.65,0.53,464642,604871.0,0.77,48.135,48.131,46.918,46.1,0.947,2.06,53.48,35.39,50.2,46.0,,7.0,,8.0,False,0,EMA9 > EMA20 > Prix > EMA200,0,46.23,50.02,2026-08-12
CAP.PA,Capgemini,Technologie,105.65,-3.52,370850,731884.0,0.51,106.158,101.959,110.184,58.7,4.125,4.26,153.05,85.62,111.85,85.62,,,,9.0,False,-4,EMA200 > EMA9 > Prix > EMA20,-4,99.46,115.96,2026-08-12
CA.PA,Carrefour,Distribution,15.76,0.45,1503215,2104946.0,0.71,15.827,15.984,15.426,43.8,0.329,1.89,17.53,11.94,16.91,15.22,,,,,False,2,EMA20 > EMA9 > Prix > EMA200,2,15.26,16.58,2026-08-12
ACA.PA,Crédit Agricole,Banque,20.17,0.75,4982559,4074216.0,1.22,19.572,18.981,17.286,79.0,0.313,1.51,20.14,15.29,20.14,17.4,,,haussière,0.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,19.7,20.95,2026-08-12
BN.PA,Danone,Agroalimentaire,67.02,-0.42,1065438,1323093.0,0.81,68.137,69.06,69.563,38.4,1.356,1.92,80.14,60.64,74.12,66.74,,8.0,baissière,0.0,False,-7,EMA200 > EMA20 > EMA9 > Prix,-8,64.99,70.41,2026-08-12
DSY.PA,Dassault Systèmes,Technologie,21.4,-3.17,1320636,2103278.0,0.63,21.406,20.533,21.244,62.2,0.701,3.81,30.36,15.82,22.43,17.56,,,,3.0,False,0,EMA9 > Prix > EMA200 > EMA20,0,20.35,23.15,2026-08-12
EDEN.PA,Edenred,Services,27.71,-1.25,346624,792253.0,0.44,28.159,27.302,22.587,58.7,0.772,3.0,29.5,15.23,29.5,24.24,,,,5.0,False,4,EMA9 > Prix > EMA20 > EMA200,4,26.55,29.64,2026-08-12
ENGI.PA,Engie,Énergie,25.97,-1.1,3568705,2812839.0,1.27,26.436,26.657,25.324,40.4,0.592,2.35,29.89,17.2,27.93,25.94,,,,9.0,False,2,EMA20 > EMA9 > Prix > EMA200,2,25.08,27.45,2026-08-12
EL.PA,EssilorLuxottica,Santé/Optique,164.4,-4.28,909698,690554.0,1.32,169.028,168.87,206.969,42.4,5.458,3.28,323.8,160.6,176.6,160.8,,4.0,,,False,0,EMA200 > EMA9 > EMA20 > Prix,0,156.21,178.04,2026-08-12
