ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_tendance,configuration_tendance,score_opportunite,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,169.54,-0.15,1567328,599610.0,2.61,168.552,169.384,163.975,48.8,2.313,1.16,182.26,140.78,175.06,165.36,,,,,True,4,Prix > EMA20 > EMA9 > EMA200,4,166.07,175.32,2026-08-31
AIR.PA,Airbus,Aéronautique,197.24,-2.86,1306926,744123.0,1.76,203.846,205.753,190.146,37.1,4.28,1.74,221.3,157.42,217.05,197.24,,5.0,baissière,0.0,True,2,EMA20 > EMA9 > Prix > EMA200,-1,190.82,207.94,2026-08-31
ALO.PA,Alstom,Industrie,16.36,-0.21,1441782,975082.0,1.48,16.34,16.26,19.158,52.2,0.398,2.02,30.23,14.72,17.06,15.75,,3.0,,,False,0,EMA200 > Prix > EMA9 > EMA20,0,15.76,17.35,2026-08-31
MT.AS,ArcelorMittal,Matériaux,64.1,-0.77,1767333,1409187.0,1.25,63.577,62.769,51.257,58.8,1.931,2.99,65.4,27.75,65.4,59.34,,,,,False,7,Prix > EMA9 > EMA20 > EMA200,7,61.2,68.93,2026-08-31
CS.PA,AXA,Assurance,43.1,-1.17,4797191,2198614.0,2.18,43.637,44.007,41.591,39.0,0.661,1.39,45.66,36.55,45.63,42.43,,8.0,,2.0,True,2,EMA20 > EMA9 > Prix > EMA200,2,42.11,44.75,2026-08-31
BNP.PA,BNP Paribas,Banque,102.78,0.21,3448322,1547952.0,2.23,104.807,106.487,93.663,39.7,2.206,1.94,113.82,65.12,113.82,99.93,,5.0,,2.0,True,2,EMA20 > EMA9 > Prix > EMA200,2,99.47,108.29,2026-08-31
EN.PA,Bouygues,BTP/Télécom,44.22,0.32,1225798,526749.0,2.33,45.32,46.313,46.839,29.5,0.903,1.73,53.48,35.65,49.65,43.39,,,,2.0,True,-7,EMA200 > EMA20 > EMA9 > Prix,-8,42.87,46.48,2026-08-31
CAP.PA,Capgemini,Technologie,107.25,-2.01,1222611,443308.0,2.76,108.595,106.997,109.853,53.2,3.624,2.88,153.05,85.62,111.85,104.65,,,,,True,-4,EMA200 > EMA9 > Prix > EMA20,-4,101.81,116.31,2026-08-31
CA.PA,Carrefour,Distribution,15.68,0.29,2122812,1558280.0,1.36,15.761,15.833,15.49,44.4,0.25,1.21,17.53,11.94,16.12,15.52,,,,,False,2,EMA20 > EMA9 > Prix > EMA200,2,15.3,16.3,2026-08-31
ACA.PA,Crédit Agricole,Banque,18.51,0.41,3822581,4258046.0,0.9,18.848,19.013,17.548,41.0,0.309,1.49,20.4,15.37,20.4,18.18,,2.0,,2.0,False,2,EMA20 > EMA9 > Prix > EMA200,2,18.05,19.29,2026-08-31
BN.PA,Danone,Agroalimentaire,64.28,-0.19,1515060,1022888.0,1.48,65.312,66.416,69.121,32.6,1.082,1.39,80.14,60.64,69.06,64.14,,,,1.0,False,-7,EMA200 > EMA20 > EMA9 > Prix,-7,62.66,66.98,2026-08-31
DSY.PA,Dassault Systèmes,Technologie,22.84,-1.08,2278201,1662748.0,1.37,22.603,21.963,21.35,65.6,0.591,2.28,30.36,15.82,23.18,20.53,,,,2.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,21.95,24.32,2026-08-31
EDEN.PA,Edenred,Services,30.08,-1.31,618961,449949.0,1.38,29.845,29.056,23.511,65.5,0.678,2.04,30.85,15.23,30.85,27.61,,,,2.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,29.06,31.78,2026-08-31
ENGI.PA,Engie,Énergie,24.6,0.41,4680716,2903180.0,1.61,24.946,25.487,25.342,35.5,0.525,1.8,29.89,17.53,27.41,23.91,,,,2.0,True,0,EMA20 > EMA200 > EMA9 > Prix,0,23.81,25.91,2026-08-31
EL.PA,EssilorLuxottica,Santé/Optique,160.35,-0.62,1233344,655255.0,1.88,160.949,163.012,200.736,43.0,4.339,2.23,323.8,156.15,176.6,156.15,,,,2.0,True,-7,EMA200 > EMA20 > EMA9 > Prix,-7,153.84,171.2,2026-08-31
ERF.PA,Eurofins Scientific,Santé,72.54,0.25,520172,190202.0,2.73,72.364,71.356,65.383,60.5,1.326,1.72,74.62,54.86,74.62,67.8,,,,4.0,True,7,Prix > EMA9 > EMA20 > EMA200,7,70.55,75.85,2026-08-31
RMS.PA,Hermès,Luxe,1581.0,-1.06,911695,76384.0,11.94,1574.61,1582.563,1786.962,48.7,41.676,2.08,2300.0,1465.5,1663.5,1520.0,,,,,True,0,EMA200 > EMA20 > Prix > EMA9,0,1518.49,1685.19,2026-08-31
KER.PA,Kering,Luxe,254.05,-0.06,370419,272226.0,1.36,255.1,259.594,259.552,44.9,7.769,2.62,354.2,225.1,293.5,246.4,,9.0,,,False,0,EMA20 > EMA200 > EMA9 > Prix,0,242.4,273.47,2026-08-31
OR.PA,L'Oréal,Cosmétiques,384.7,-0.98,476699,272121.0,1.75,385.829,384.755,375.995,50.5,7.191,1.64,407.85,338.85,397.25,367.5,,5.0,,,True,0,EMA9 > EMA20 > Prix > EMA200,0,373.91,402.68,2026-08-31
LR.PA,Legrand,Industrie,136.55,-2.22,646191,418146.0,1.55,136.964,137.12,138.179,48.2,3.618,2.15,166.95,121.95,143.8,131.6,,7.0,,,True,-7,EMA200 > EMA20 > EMA9 > Prix,-7,131.12,145.6,2026-08-31
MC.PA,LVMH,Luxe,453.3,-1.06,547253,434942.0,1.26,454.332,459.846,502.162,44.4,11.085,2.11,654.7,440.0,488.1,442.5,,,,7.0,False,-7,EMA200 > EMA20 > EMA9 > Prix,-7,436.67,481.01,2026-08-31
ML.PA,Michelin,Industrie,35.0,0.63,2406165,1318960.0,1.82,34.74,34.642,32.473,55.0,0.605,1.43,35.72,25.51,35.35,33.82,,5.0,,,True,7,Prix > EMA9 > EMA20 > EMA200,7,34.09,36.51,2026-08-31
ORA.PA,Orange,Télécom,15.4,1.38,8966278,4590312.0,1.95,15.642,15.926,16.143,37.7,0.34,1.73,18.81,13.07,16.59,14.8,,,,2.0,True,-7,EMA200 > EMA20 > EMA9 > Prix,-7,14.89,16.26,2026-08-31
RI.PA,Pernod Ricard,Boissons,64.5,2.06,1090159,643080.0,1.7,66.159,66.891,71.188,41.0,1.81,2.36,99.46,58.6,71.14,62.02,,2.0,,2.0,True,-7,EMA200 > EMA20 > EMA9 > Prix,-7,61.79,69.02,2026-08-31
PUB.PA,Publicis,Communication,100.95,-0.69,861953,594469.0,1.45,101.635,99.835,87.128,58.9,2.114,1.8,104.85,68.14,104.85,92.86,,,,5.0,False,4,EMA9 > Prix > EMA20 > EMA200,4,97.78,106.24,2026-08-31
