ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_tendance,configuration_tendance,score_opportunite,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,171.68,0.14,513100,790917.0,0.65,172.41,173.126,163.317,45.8,2.563,1.3,182.26,140.78,178.12,169.24,,8.0,,,False,2,EMA20 > EMA9 > Prix > EMA200,2,167.84,178.09,2026-08-11
AIR.PA,Airbus,Aéronautique,212.5,-1.0,628949,1052751.0,0.6,211.371,207.209,187.609,60.2,4.93,1.95,221.3,157.42,217.05,190.9,,,,4.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,205.1,224.83,2026-08-11
ALO.PA,Alstom,Industrie,16.38,0.49,1060736,1198268.0,0.89,16.449,16.284,19.595,52.3,0.448,2.67,30.23,14.72,17.05,15.03,,,,5.0,False,-4,EMA200 > EMA9 > Prix > EMA20,-4,15.71,17.5,2026-08-11
MT.AS,ArcelorMittal,Matériaux,64.18,-0.06,1123440,1739986.0,0.65,62.819,60.935,49.45,65.6,2.003,3.2,65.24,27.42,65.24,56.14,,,,5.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,61.18,69.19,2026-08-11
CS.PA,AXA,Assurance,44.83,-0.18,1641788,2487144.0,0.66,44.888,44.689,41.218,56.9,0.593,1.28,45.66,36.55,45.66,43.63,,,,,False,4,EMA9 > Prix > EMA20 > EMA200,4,43.94,46.31,2026-08-11
BNP.PA,BNP Paribas,Banque,111.72,-0.96,1548468,1704453.0,0.91,111.135,108.541,91.635,66.8,2.051,1.81,113.62,65.12,113.62,100.44,,,,3.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,108.64,116.85,2026-08-11
EN.PA,Bouygues,BTP/Télécom,47.4,-1.72,541573,627164.0,0.86,48.308,48.228,46.94,44.3,0.983,2.11,53.48,35.39,50.2,46.0,,6.0,,8.0,False,0,EMA9 > EMA20 > Prix > EMA200,0,45.93,49.86,2026-08-11
CAP.PA,Capgemini,Technologie,109.5,1.39,268762,773585.0,0.35,106.517,101.948,109.987,67.1,4.128,4.38,153.05,85.62,111.85,85.62,,,,9.0,False,0,EMA200 > Prix > EMA9 > EMA20,0,103.31,119.82,2026-08-11
CA.PA,Carrefour,Distribution,15.69,-0.16,1371528,2199109.0,0.62,15.839,16.0,15.44,41.7,0.326,1.92,17.53,11.94,16.91,15.22,,,,,False,2,EMA20 > EMA9 > Prix > EMA200,2,15.2,16.5,2026-08-11
ACA.PA,Crédit Agricole,Banque,20.02,0.45,5998382,4229432.0,1.42,19.462,18.92,17.286,78.4,0.327,1.68,20.11,15.29,20.11,17.58,,,haussière,0.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,19.53,20.84,2026-08-11
