ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_tendance,configuration_tendance,score_opportunite,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,169.14,-0.7,507443,736376.0,0.69,171.523,172.654,163.373,39.6,2.425,1.21,182.26,140.78,178.12,168.92,,9.0,baissière,0.0,False,2,EMA20 > EMA9 > Prix > EMA200,1,165.5,175.2,2026-08-13
AIR.PA,Airbus,Aéronautique,212.9,-0.35,617161,1013987.0,0.61,212.118,208.267,187.97,60.4,4.543,1.71,221.3,157.42,217.05,190.9,,,,6.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,206.09,224.26,2026-08-13
ALO.PA,Alstom,Industrie,15.98,-1.33,814519,1173382.0,0.69,16.317,16.244,19.56,46.0,0.426,2.33,30.23,14.72,17.05,15.3,,,,,False,0,EMA200 > EMA9 > EMA20 > Prix,0,15.35,17.05,2026-08-13
MT.AS,ArcelorMittal,Matériaux,63.66,-0.81,1049618,1648220.0,0.64,63.143,61.358,49.621,62.8,1.889,2.9,65.24,27.42,65.24,56.14,,,,7.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,60.83,68.38,2026-08-13
CS.PA,AXA,Assurance,44.64,-0.2,1443753,2355731.0,0.61,44.814,44.67,41.251,53.5,0.551,1.15,45.66,36.55,45.66,43.73,,,,,False,0,EMA9 > EMA20 > Prix > EMA200,0,43.81,46.02,2026-08-13
BNP.PA,BNP Paribas,Banque,112.4,0.36,1275412,1681330.0,0.76,111.438,108.999,91.863,68.4,2.007,1.64,113.82,65.12,113.82,100.44,,,,5.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,109.39,117.42,2026-08-13
EN.PA,Bouygues,BTP/Télécom,47.58,-0.15,585543,593682.0,0.99,48.026,48.079,46.936,45.7,0.914,1.98,53.48,35.39,50.2,46.0,baissier,0.0,,9.0,False,2,EMA20 > EMA9 > Prix > EMA200,1,46.21,49.86,2026-08-13
CAP.PA,Capgemini,Technologie,106.0,0.33,354662,736620.0,0.48,106.128,102.339,109.985,59.3,3.967,4.04,153.05,85.62,111.85,85.62,,,,,False,-4,EMA200 > EMA9 > Prix > EMA20,-4,100.05,115.92,2026-08-13
CA.PA,Carrefour,Distribution,15.73,-0.19,1464035,2142394.0,0.68,15.808,15.965,15.441,42.9,0.311,1.82,17.53,11.94,16.91,15.22,,,,,False,2,EMA20 > EMA9 > Prix > EMA200,2,15.26,16.5,2026-08-13
ACA.PA,Crédit Agricole,Banque,20.1,-0.35,3841815,4173203.0,0.92,19.679,19.094,17.323,77.1,0.311,1.52,20.4,15.29,20.4,17.58,,,,1.0,False,7,Prix > EMA9 > EMA20 > EMA200,6,19.63,20.88,2026-08-13
