ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_tendance,configuration_tendance,score_opportunite,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,172.38,-0.48,606001,795915.0,0.76,172.88,173.472,163.158,47.4,2.659,1.33,182.26,140.78,178.62,169.24,,6.0,,,False,2,EMA20 > EMA9 > Prix > EMA200,2,168.39,179.03,2026-08-07
AIR.PA,Airbus,Aéronautique,213.6,0.54,694849,1043050.0,0.67,210.386,205.752,186.942,63.0,4.998,2.03,221.3,157.42,217.05,190.9,,,,2.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,206.1,226.1,2026-08-07
ALO.PA,Alstom,Industrie,16.66,-1.57,546750,1247152.0,0.44,16.509,16.265,19.697,57.0,0.445,2.58,30.23,14.72,17.05,15.03,,,,,False,0,EMA200 > Prix > EMA9 > EMA20,0,15.99,17.77,2026-08-07
MT.AS,ArcelorMittal,Matériaux,62.98,-1.38,1692330,1782022.0,0.95,62.043,60.212,49.151,62.7,2.117,3.36,65.24,27.42,65.24,56.14,,,,3.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,59.8,68.27,2026-08-07
CS.PA,AXA,Assurance,45.05,0.0,2215496,2345724.0,0.94,44.904,44.623,41.104,61.4,0.601,1.23,45.66,36.55,45.66,43.63,,,,7.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,44.15,46.55,2026-08-07
BNP.PA,BNP Paribas,Banque,112.44,-0.14,1324287,1689025.0,0.78,110.536,107.723,91.22,71.4,2.109,1.92,113.62,65.12,113.62,99.63,,,,1.0,False,7,Prix > EMA9 > EMA20 > EMA200,6,109.28,117.71,2026-08-07
EN.PA,Bouygues,BTP/Télécom,48.64,-1.12,367241,642874.0,0.57,48.611,48.325,46.924,52.0,1.002,2.01,53.48,35.39,50.2,46.0,,4.0,,6.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,47.14,51.14,2026-08-07
CAP.PA,Capgemini,Technologie,109.25,0.0,498919,794588.0,0.63,104.856,99.964,110.096,67.8,4.166,4.21,153.05,85.62,111.85,85.62,,7.0,,6.0,False,0,EMA200 > Prix > EMA9 > EMA20,0,103.0,119.66,2026-08-07
CA.PA,Carrefour,Distribution,15.77,-0.97,1748065,2174855.0,0.8,15.919,16.067,15.435,43.1,0.352,2.06,17.53,11.94,16.91,15.22,,,,,False,2,EMA20 > EMA9 > Prix > EMA200,2,15.24,16.65,2026-08-07
ACA.PA,Crédit Agricole,Banque,19.6,0.75,2592650,4108004.0,0.63,19.171,18.686,17.231,74.5,0.328,1.63,19.78,15.29,19.78,17.4,,,,5.0,False,7,Prix > EMA9 > EMA20 > EMA200,6,19.11,20.43,2026-08-07
