ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_tendance,configuration_tendance,score_opportunite,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,166.82,-0.86,549724,754506.0,0.73,169.997,171.599,163.542,34.3,2.38,1.24,182.26,140.78,178.12,166.52,,,baissière,0.0,False,2,EMA20 > EMA9 > Prix > EMA200,1,163.25,172.77,2026-08-17
AIR.PA,Airbus,Aéronautique,214.25,-0.53,567135,1017398.0,0.56,213.02,209.484,188.675,60.8,4.454,1.78,221.3,157.42,217.05,190.9,,,,8.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,207.57,225.39,2026-08-17
ALO.PA,Alstom,Industrie,16.08,-0.96,658546,1139593.0,0.58,16.254,16.23,19.463,47.6,0.403,2.22,30.23,14.72,17.05,15.3,,,,9.0,False,0,EMA200 > EMA9 > EMA20 > Prix,0,15.47,17.08,2026-08-17
MT.AS,ArcelorMittal,Matériaux,63.32,-0.66,1165600,1594346.0,0.73,63.314,61.845,50.013,60.8,1.916,3.02,65.24,27.42,65.24,56.78,,,,9.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,60.45,68.11,2026-08-17
CS.PA,AXA,Assurance,44.61,-0.98,1284995,2375074.0,0.54,44.81,44.712,41.364,51.3,0.55,1.27,45.66,36.55,45.66,44.25,,,,,False,0,EMA9 > EMA20 > Prix > EMA200,0,43.78,45.99,2026-08-17
BNP.PA,BNP Paribas,Banque,111.14,-0.86,819184,1667458.0,0.49,111.541,109.64,92.442,61.8,1.863,1.54,113.82,65.12,113.82,103.18,,,,7.0,False,4,EMA9 > Prix > EMA20 > EMA200,4,108.35,115.8,2026-08-17
EN.PA,Bouygues,BTP/Télécom,47.45,-0.42,453451,571394.0,0.79,47.87,48.013,46.97,44.8,0.883,1.83,53.48,35.39,50.2,46.0,,2.0,,,False,2,EMA20 > EMA9 > Prix > EMA200,2,46.13,49.66,2026-08-17
CAP.PA,Capgemini,Technologie,106.15,-1.99,262328,723144.0,0.36,106.574,103.473,109.889,57.8,3.873,3.58,153.05,85.62,111.85,85.62,,,,,False,-4,EMA200 > EMA9 > Prix > EMA20,-4,100.34,115.83,2026-08-17
CA.PA,Carrefour,Distribution,15.66,-0.89,1149664,2101203.0,0.55,15.774,15.912,15.455,41.9,0.282,1.44,17.53,11.94,16.91,15.22,,,,,False,2,EMA20 > EMA9 > Prix > EMA200,2,15.24,16.36,2026-08-17
ACA.PA,Crédit Agricole,Banque,20.07,-0.64,2931409,4134770.0,0.71,19.841,19.282,17.38,73.8,0.293,1.41,20.4,15.29,20.4,17.7,,,,3.0,False,7,Prix > EMA9 > EMA20 > EMA200,6,19.63,20.8,2026-08-17
